twait_Co5898_4p5K_90deg_T1,r_Co5898_4p5K_90deg_T1,twait_Co5898_5p25K_90deg_T1,r_Co5898_5p25K_90deg_T1,twait_Co5898_6K_90deg_T1,r_Co5898_6K_90deg_T1,twait_Co5898_7K_90deg_T1,r_Co5898_7K_90deg_T1,twait_Co5898_8K_90deg_T1,r_Co5898_8K_90deg_T1,twait_Co5898_9K_90deg_T1,r_Co5898_9K_90deg_T1,twait_Co5898_10K_90deg_T1,r_Co5898_10K_90deg_T1,twait_Co5898_11K_90deg_T1,r_Co5898_11K_90deg_T1,twait_Co5898_12K_90deg_T1,r_Co5898_12K_90deg_T1,twait_Co5898_13K_90deg_T1,r_Co5898_13K_90deg_T1,twait_Co5898_15K_90deg_T1,r_Co5898_15K_90deg_T1,twait_Co5898_16K_90deg_T1,r_Co5898_16K_90deg_T1,twait_Co5898_17K_90deg_T1,r_Co5898_17K_90deg_T1,twait_Co5898_18K_90deg_T1,r_Co5898_18K_90deg_T1,twait_Co5898_19K_90deg_T1,r_Co5898_19K_90deg_T1,twait_Co5898_20K_90deg_T1,r_Co5898_20K_90deg_T1,twait_Co5898_21K_90deg_T1,r_Co5898_21K_90deg_T1,twait_Co5898_22K_90deg_T1,r_Co5898_22K_90deg_T1,twait_Co5898_23K_90deg_T1,r_Co5898_23K_90deg_T1,twait_Co5898_24K_90deg_T1,r_Co5898_24K_90deg_T1,twait_Co5898_25K_90deg_T1,r_Co5898_25K_90deg_T1,twait_Co5898_26K_90deg_T1,r_Co5898_26K_90deg_T1,twait_Co5898_27K_90deg_T1,r_Co5898_27K_90deg_T1,twait_Co5898_28K_90deg_T1,r_Co5898_28K_90deg_T1,twait_Co5898_29K_90deg_T1,r_Co5898_29K_90deg_T1,twait_Co5898_30K_90deg_T1,r_Co5898_30K_90deg_T1,twait_Co5898_32p5K_90deg_T1,r_Co5898_32p5K_90deg_T1,twait_Co5898_35K_90deg_T1,r_Co5898_35K_90deg_T1,twait_Co5898_40K_90deg_T1,r_Co5898_40K_90deg_T1,twait_Co5898_45K_90deg_T1,r_Co5898_45K_90deg_T1,twait_Co5898_50K_90deg_T1,r_Co5898_50K_90deg_T1,twait_Co5898_57p5K_90deg_T1,r_Co5898_57p5K_90deg_T1,twait_Co5898_65K_90deg_T1,r_Co5898_65K_90deg_T1,twait_Co5898_75K_90deg_T1,r_Co5898_75K_90deg_T1,twait_Co5898_85K_90deg_T1,r_Co5898_85K_90deg_T1,twait_Co5898_100K_90deg_T1,r_Co5898_100K_90deg_T1,twait_Co5898_150K_90deg_T1,r_Co5898_150K_90deg_T1,twait_Co5898_200K_90deg_T1,r_Co5898_200K_90deg_T1,twait_Co5898_250K_90deg_T1,r_Co5898_250K_90deg_T1,twait_Co5898_300K_90deg_T1,r_Co5898_300K_90deg_T1
1e-05,-560166.0,1e-05,-626291.0,1e-06,-1095620.0,1e-06,-610175.0,1e-06,-809234.0,1e-06,-1274240.0,1e-06,-837172.0,1e-06,-545269.0,1e-06,-788915.0,1e-06,-1108030.0,1e-06,-605573.0,1e-06,-792798.0,5e-06,-1235410.0,1e-06,-689811.0,1e-06,-1910970.0,0.0,-4705610.0,1e-06,-4861930.0,1e-06,-9990900.0,1e-06,-4120040.0,1e-06,-2488030.0,1e-06,-1618160.0,1e-06,-1953450.0,1e-06,-4458730.0,1e-06,-2589630.0,1e-06,-2967970.0,1e-06,-3373200.0,1e-06,-3691220.0,1e-06,-1708570.0,1e-06,-4087520.0,1e-06,-15897100.0,1e-06,-7284770.0,1e-06,-5355.93,1e-06,-1054990.0,1e-06,-792108.0,1e-06,-730433.0,1e-06,-3346140.0,1e-06,-1110150.0,1e-06,-804919.0,1e-06,-4289140.0,1e-06,-2479690.0
4.9e-05,-533547.0,4.9e-05,-667984.0,2.8e-05,-1064050.0,2.8e-05,-753041.0,2.8e-05,-756327.0,5e-06,-1208880.0,5e-06,-847416.0,5e-06,-619235.0,5e-06,-940053.0,5e-06,-971630.0,5e-06,-640234.0,5e-06,-832822.0,2.1e-05,-1108230.0,4e-06,-630784.0,4e-06,-2027180.0,1e-06,-4652180.0,4e-06,-4761740.0,4e-06,-9792310.0,4e-06,-4040500.0,4e-06,-2482560.0,4e-06,-1581300.0,4e-06,-1843360.0,4e-06,-4354970.0,4e-06,-2505830.0,4e-06,-2943440.0,4e-06,-3217440.0,4e-06,-3737560.0,4e-06,-1723880.0,4e-06,-4086870.0,4e-06,-15815800.0,4e-06,-7317250.0,4e-06,-4163.1,4e-06,-1051790.0,4e-06,-804170.0,4e-06,-753892.0,4e-06,-3240310.0,4e-06,-1090700.0,4e-06,-847344.0,4e-06,-3973970.0,4e-06,-2789900.0
0.000236,-439075.0,0.000236,-487413.0,0.000144,-1004360.0,0.000144,-652021.0,0.000144,-761238.0,2.8e-05,-1415570.0,2.8e-05,-963055.0,2.8e-05,-501585.0,2.5e-05,-856627.0,2.5e-05,-974302.0,2.1e-05,-641734.0,2.1e-05,-730707.0,8.8e-05,-676729.0,1.8e-05,-525367.0,1.8e-05,-1684750.0,4e-06,-4741400.0,1.8e-05,-4331720.0,1.8e-05,-8768980.0,1.8e-05,-3598430.0,1.8e-05,-2131330.0,1.8e-05,-1375210.0,1.8e-05,-1600210.0,1.8e-05,-3902140.0,1.8e-05,-2299980.0,1.8e-05,-2696320.0,1.8e-05,-3044550.0,1.8e-05,-3484950.0,1.8e-05,-1664870.0,1.8e-05,-3972790.0,1.8e-05,-15605800.0,1.8e-05,-7280610.0,1.8e-05,-8784.08,1.8e-05,-992860.0,1.8e-05,-829493.0,1.8e-05,-717090.0,1.8e-05,-3320510.0,1.8e-05,-1197340.0,1.8e-05,-868398.0,1.8e-05,-4272740.0,1.8e-05,-2611430.0
0.001145,-453697.0,0.001145,-443381.0,0.000756,-797370.0,0.000756,-487079.0,0.000756,-483057.0,0.000144,-1137110.0,0.000144,-787629.0,0.000144,-464198.0,0.000126,-648021.0,0.000126,-710602.0,8.8e-05,-528465.0,8.8e-05,-531267.0,0.000368,-453118.0,7.9e-05,-550527.0,7.9e-05,-1422370.0,1.8e-05,-4375690.0,7.9e-05,-3163250.0,7.9e-05,-5731020.0,7.9e-05,-2176360.0,7.9e-05,-1311610.0,7.9e-05,-828590.0,7.9e-05,-974861.0,7.9e-05,-2534790.0,7.9e-05,-1590280.0,7.9e-05,-1959070.0,7.9e-05,-2284790.0,7.9e-05,-2870570.0,7.9e-05,-1434080.0,7.9e-05,-3619560.0,7.9e-05,-14460700.0,7.9e-05,-6806330.0,7.9e-05,-6679.55,7.9e-05,-973972.0,7.9e-05,-782964.0,7.9e-05,-686703.0,7.9e-05,-3070170.0,7.9e-05,-1035870.0,7.9e-05,-777930.0,7.9e-05,-3890060.0,7.9e-05,-2544640.0
0.005558,-267287.0,0.005558,-223193.0,0.003966,-539251.0,0.003966,-327018.0,0.003966,-69438.5,0.000756,-934422.0,0.000756,-383632.0,0.000756,-163032.0,0.000632,-506358.0,0.000632,-427166.0,0.000368,-72455.1,0.000368,-382621.0,0.001544,83433.8,0.00015,-286598.0,0.00015,-1035350.0,7.9e-05,-3307440.0,0.00015,-2319270.0,0.00015,-3609920.0,0.00015,-1344410.0,0.00015,-608935.0,0.00015,-422726.0,0.00015,-528950.0,0.00015,-1451280.0,0.00015,-1017590.0,0.00015,-1447170.0,0.00015,-1719410.0,0.00015,-2418150.0,0.00015,-1263380.0,0.00015,-3329660.0,0.00015,-13427600.0,0.00015,-6381490.0,0.00015,-4166.59,0.00015,-924338.0,0.00015,-755665.0,0.00015,-648089.0,0.00015,-3069050.0,0.00015,-1014550.0,0.00015,-749643.0,0.00015,-3818220.0,0.00015,-2117520.0
0.026987,-90713.2,0.026987,-19704.5,0.020801,-78258.6,0.020801,103069.0,0.020801,100362.0,0.003966,-130771.0,0.003966,17134.6,0.003966,38465.7,0.003166,-26284.5,0.003166,254770.0,0.001544,32870.0,0.001544,100152.0,0.006475,837183.0,0.000341,-244172.0,0.000341,-559140.0,0.00015,-2584300.0,0.000341,-792631.0,0.000341,-334576.0,0.000341,167599.0,0.000341,260372.0,0.000341,222454.0,0.000341,175706.0,0.000341,145574.0,0.000341,-140406.0,0.000341,-416003.0,0.000341,-829364.0,0.000341,-1500860.0,0.000341,-876654.0,0.000341,-2536850.0,0.000341,-10752300.0,0.000341,-5326090.0,0.000341,-5237.48,0.000341,-817864.0,0.000341,-697105.0,0.000341,-590632.0,0.000341,-2612870.0,0.000341,-900213.0,0.000341,-539722.0,0.000341,-2814360.0,0.000341,-1472750.0
0.131037,194112.0,0.131037,297151.0,0.109084,575626.0,0.109084,548774.0,0.109084,649188.0,0.020801,580233.0,0.020801,545552.0,0.020801,506660.0,0.015874,585496.0,0.015874,721485.0,0.006475,472982.0,0.006475,528161.0,0.027144,1318230.0,0.0008,101039.0,0.0008,38501.9,0.000341,-1316820.0,0.0008,1038640.0,0.0008,3738520.0,0.0008,1900430.0,0.0008,1414940.0,0.0008,914118.0,0.0008,1047390.0,0.0008,2088880.0,0.0008,943591.0,0.0008,683295.0,0.0008,478222.0,0.0008,-171281.0,0.0008,-331738.0,0.0008,-1276180.0,0.0008,-6257160.0,0.0008,-3238550.0,0.0008,-4407.62,0.0008,-524133.0,0.0008,-491196.0,0.0008,-421997.0,0.0008,-1771280.0,0.0008,-438789.0,0.0008,-191017.0,0.0008,-441938.0,0.0008,558452.0
0.636248,501783.0,0.636248,706639.0,0.572059,1354410.0,0.572059,946773.0,0.572059,1204700.0,0.109084,1502000.0,0.109084,1258600.0,0.109084,827879.0,0.079579,1139060.0,0.079579,1228110.0,0.027144,742031.0,0.027144,862128.0,0.113796,1610730.0,0.001466,324810.0,0.001466,433386.0,0.0008,360935.0,0.001466,2082810.0,0.001466,6692430.0,0.001466,3332630.0,0.001466,2264110.0,0.001466,1442210.0,0.001466,1628980.0,0.001466,3495350.0,0.001466,1736000.0,0.001466,1632890.0,0.001466,1473070.0,0.001466,819765.0,0.001466,154316.0,0.001466,-25843.6,0.001466,-1328460.0,0.001466,-1058410.0,0.001466,-1798.25,0.001466,-208890.0,0.001466,-226675.0,0.001466,-202358.0,0.001466,-704195.0,0.001466,-91730.7,0.001466,250157.0,0.001466,1621740.0,0.001466,2717500.0
3.08929,780088.0,3.08929,889276.0,3.0,1642720.0,3.0,1203510.0,3.0,1298600.0,0.572059,2156600.0,0.572059,1650870.0,0.572059,1086210.0,0.398947,1432280.0,0.398947,1777850.0,0.113796,1203670.0,0.113796,1263090.0,0.477066,1748020.0,0.00255,342843.0,0.00255,1083480.0,0.001466,1673380.0,0.00255,3391870.0,0.00255,9330140.0,0.00255,4343340.0,0.00255,2919310.0,0.00255,1824200.0,0.00255,2102670.0,0.00255,4661940.0,0.00255,2448630.0,0.00255,2486360.0,0.00255,2386600.0,0.00255,1925340.0,0.00255,693088.0,0.00255,1262400.0,0.00255,3866320.0,0.00255,1430560.0,0.00255,108.064,0.00255,128820.0,0.00255,58752.6,0.00255,112705.0,0.00255,598714.0,0.00255,446840.0,0.00255,811913.0,0.00255,4233330.0,0.00255,4575480.0
15.0,897593.0,15.0,1066820.0,7.0,1799030.0,7.0,1188290.0,5.0,1321070.0,3.0,2406050.0,3.0,1671050.0,3.0,1259950.0,2.0,1601290.0,2.0,1864480.0,0.477066,1122700.0,0.477066,1246090.0,2.0,1762100.0,0.004059,546850.0,0.004059,1390920.0,0.00255,2722250.0,0.004059,4302140.0,0.004059,11370500.0,0.004059,5014300.0,0.004059,3423420.0,0.004059,2197160.0,0.004059,2546640.0,0.004059,5654190.0,0.004059,3003940.0,0.004059,3125460.0,0.004059,3155420.0,0.004059,2748360.0,0.004059,1099510.0,0.004059,2448240.0,0.004059,8584990.0,0.004059,3744240.0,0.004059,5253.38,0.004059,513082.0,0.004059,384850.0,0.004059,394859.0,0.004059,2006880.0,0.004059,983997.0,0.004059,1291890.0,0.004059,6465270.0,0.004059,5994490.0
